customer_id,home_store,customer_phone_number,customer_since,loyalty_card_number,birthdate,gender,birth_year
72,3,6283-0733-0218,7/19/2017,026-870-4410,6/26/1962,L,1962
73,3,6287-0610-7562,7/22/2017,609-652-9928,8/27/1962,L,1962
74,3,6288-0117-0725,7/24/2017,329-949-6399,10/28/1962,L,1962
75,3,6283-0462-6471,7/27/2017,979-165-4242,12/30/1962,L,1962
76,3,6287-0470-9586,7/30/2017,572-526-5147,3/2/1963,L,1963
77,3,6288-0832-4079,8/2/2017,527-724-8593,5/3/1963,L,1963
78,3,6283-0414-1676,8/5/2017,785-964-9335,7/4/1963,L,1963
79,3,6285-0502-2033,8/7/2017,557-211-3460,9/4/1963,L,1963
80,3,6284-0791-9328,8/10/2017,913-670-1136,11/5/1963,L,1963
81,3,6285-0517-9141,8/13/2017,215-509-6514,1/6/1964,L,1964
82,3,6280-0714-9573,8/16/2017,227-846-2083,3/8/1964,L,1964
83,3,6288-0709-1263,8/18/2017,443-645-8649,5/10/1964,L,1964
84,3,6289-0826-8780,8/21/2017,828-727-5876,7/11/1964,L,1964
85,3,6281-0684-6547,8/24/2017,948-903-4949,9/11/1964,L,1964
86,3,6283-0393-6511,8/27/2017,166-246-9158,11/12/1964,L,1964
87,3,6280-0065-3094,8/29/2017,003-132-5247,1/13/1965,L,1965
88,3,6288-0509-9194,9/1/2017,360-458-8120,3/16/1965,L,1965
89,3,6288-0410-2361,9/4/2017,084-213-3936,5/17/1965,L,1965
90,3,6286-0560-4717,9/7/2017,501-147-3326,7/19/1965,L,1965
91,3,6288-0672-2985,9/9/2017,702-544-9634,9/19/1965,L,1965
92,3,6285-0201-9298,9/12/2017,867-249-6572,11/20/1965,L,1965
93,3,6288-0424-5720,9/15/2017,088-083-1467,1/21/1966,L,1966
94,3,6288-0803-9609,9/18/2017,686-116-8366,3/24/1966,L,1966
95,3,6284-0778-6161,9/20/2017,485-255-6636,5/25/1966,L,1966
96,3,6288-0309-9387,9/23/2017,134-226-3957,7/26/1966,L,1966
97,3,6282-0500-1580,9/26/2017,034-272-9190,9/26/1966,L,1966
98,3,6288-0047-0183,9/29/2017,755-191-3372,11/28/1966,L,1966
99,3,6288-0374-1022,10/1/2017,747-164-4596,1/29/1967,L,1967
100,3,6287-0378-0186,10/4/2017,406-350-0623,4/1/1967,L,1967
101,3,6280-0779-5410,10/7/2017,418-472-9496,6/2/1967,L,1967
102,3,6285-0191-6220,10/10/2017,404-721-1224,8/3/1967,L,1967
103,3,6280-0598-0283,10/12/2017,222-268-5708,10/4/1967,L,1967
104,3,6281-0270-4690,10/15/2017,509-169-2093,12/5/1967,L,1967
105,3,6283-0229-5940,10/18/2017,731-688-7204,2/6/1968,L,1968
106,3,6285-0703-2401,10/21/2017,854-586-9765,4/8/1968,L,1968
107,3,6285-0042-5560,10/23/2017,984-827-9560,6/9/1968,L,1968
108,3,6282-0872-3784,10/26/2017,738-873-5744,8/10/1968,L,1968
109,3,6283-0666-3830,10/29/2017,390-916-4716,10/11/1968,L,1968
110,3,6286-0787-1099,11/1/2017,046-864-3591,12/12/1968,L,1968
111,3,6281-0479-5308,11/3/2017,714-419-2937,2/12/1969,L,1969
112,3,6283-0122-1703,11/6/2017,253-876-9471,4/15/1969,L,1969
113,3,6282-0290-5847,11/9/2017,962-226-5001,6/17/1969,L,1969
114,3,6284-0059-8027,11/12/2017,423-516-7004,8/18/1969,L,1969
115,3,6288-0237-3908,11/15/2017,035-933-1503,10/19/1969,L,1969
116,3,6282-0443-8206,11/17/2017,595-850-6008,12/20/1969,L,1969
117,3,6283-0536-7482,11/20/2017,998-351-2564,2/20/1970,L,1970
118,3,6286-0313-6039,11/23/2017,302-595-2714,4/23/1970,L,1970
119,3,6286-0155-1803,11/26/2017,977-062-4695,6/24/1970,L,1970
120,3,6281-0313-2485,11/28/2017,878-098-9349,8/26/1970,L,1970
121,3,6280-0566-1366,12/1/2017,419-037-6499,10/27/1970,L,1970
122,3,6284-0888-5299,12/4/2017,987-333-9350,12/28/1970,L,1970
123,3,6285-0644-6892,12/7/2017,253-334-6796,2/28/1971,L,1971
124,3,6281-0845-9701,12/9/2017,118-893-0232,5/1/1971,L,1971
125,3,6282-0499-9816,12/12/2017,482-661-3695,7/2/1971,L,1971
126,3,6285-0835-3710,12/15/2017,866-602-6723,9/2/1971,L,1971
127,3,6288-0864-8101,12/18/2017,796-362-1661,11/3/1971,L,1971
128,3,6287-0294-3914,12/20/2017,061-805-1586,1/5/1972,L,1972
129,3,6287-0524-3828,12/23/2017,939-640-0576,3/7/1972,L,1972
130,3,6288-0236-5178,12/26/2017,656-130-6731,5/8/1972,L,1972
131,3,6286-0582-3960,12/29/2017,557-490-4280,7/9/1972,L,1972
132,3,6283-0749-9696,12/31/2017,174-527-6126,9/9/1972,L,1972
133,3,6289-0857-6950,1/3/2018,389-154-7436,11/10/1972,L,1972
134,3,6284-0885-5799,1/6/2018,814-963-1003,1/11/1973,L,1973
135,3,6284-0566-3337,1/9/2018,942-295-9967,3/15/1973,L,1973
136,3,6282-0223-0308,1/11/2018,026-221-2273,5/16/1973,L,1973
137,3,6287-0399-6217,1/14/2018,298-064-0679,7/17/1973,L,1973
138,3,6281-0396-4964,1/17/2018,135-645-6065,9/17/1973,L,1973
139,3,6284-0493-5751,1/20/2018,309-009-5095,11/18/1973,L,1973
140,3,6285-0593-8283,1/22/2018,648-469-4108,1/19/1974,L,1974
141,3,6289-0763-7269,1/25/2018,204-712-4465,3/22/1974,L,1974
142,3,6288-0601-2316,1/28/2018,966-683-7594,5/23/1974,L,1974
143,3,6280-0848-7145,1/31/2018,588-506-6627,7/25/1974,L,1974
144,3,6287-0304-7459,2/2/2018,307-778-5972,9/25/1974,L,1974
145,3,6288-0015-6991,2/5/2018,799-691-7563,11/26/1974,L,1974
146,3,6284-0826-1412,2/8/2018,116-496-8758,1/27/1975,L,1975
147,3,6289-0584-6505,2/11/2018,124-779-6796,3/30/1975,L,1975
148,3,6284-0715-0359,2/13/2018,251-378-4718,5/31/1975,L,1975
149,3,6286-0343-7838,2/16/2018,702-268-3132,8/1/1975,L,1975
150,3,6287-0100-6871,2/19/2018,096-896-0097,10/3/1975,L,1975
151,3,6289-0230-5965,2/22/2018,877-118-5180,12/4/1975,L,1975
152,3,6283-0064-5097,2/25/2018,603-037-9156,2/4/1976,L,1976
153,3,6287-0880-2623,2/27/2018,786-497-8882,4/6/1976,L,1976
154,3,6284-0467-3687,3/2/2018,509-601-7552,6/7/1976,L,1976
155,3,6289-0477-0419,3/5/2018,761-315-9076,8/8/1976,L,1976
156,3,6288-0763-1956,3/8/2018,619-077-9026,10/9/1976,L,1976
157,3,6287-0682-5027,3/10/2018,186-802-3084,12/10/1976,L,1976
158,3,6288-0783-8810,3/13/2018,764-665-3571,2/11/1977,L,1977
159,3,6281-0794-4103,3/16/2018,409-577-9493,4/14/1977,L,1977
160,3,6282-0733-4696,3/19/2018,530-335-0840,6/15/1977,L,1977
161,3,6281-0838-3477,3/21/2018,287-047-5955,8/16/1977,L,1977
162,3,6283-0165-3052,3/24/2018,180-896-6658,10/17/1977,L,1977
163,3,6284-0036-2234,3/27/2018,323-186-2822,12/18/1977,L,1977
164,3,6282-0489-0811,3/30/2018,597-478-4844,2/18/1978,L,1978
165,3,6282-0735-6175,4/1/2018,508-420-9403,4/22/1978,L,1978
166,3,6283-0266-5487,4/4/2018,984-103-7033,6/23/1978,L,1978
167,3,6280-0067-1613,4/7/2018,108-281-8968,8/24/1978,L,1978
168,3,6289-0859-4742,4/10/2018,864-325-6937,10/25/1978,L,1978
169,3,6280-0307-6667,4/12/2018,117-586-4413,12/26/1978,L,1978
170,3,6280-0188-4050,4/15/2018,815-297-6502,2/26/1979,L,1979
171,3,6280-0117-0587,4/18/2018,440-377-0128,4/29/1979,L,1979
172,3,6285-0828-1034,4/21/2018,242-162-0843,6/30/1979,L,1979
173,3,6283-0115-5402,4/23/2018,445-631-4114,9/1/1979,L,1979
174,3,6288-0162-5543,4/26/2018,764-982-2467,11/2/1979,L,1979
175,3,6289-0511-3428,4/29/2018,315-438-4013,1/3/1980,L,1980
176,3,6283-0339-1951,5/2/2018,071-467-0974,3/5/1980,L,1980
177,3,6288-0602-6479,5/4/2018,723-027-5036,5/6/1980,L,1980
178,3,6289-0062-9095,5/7/2018,772-491-9747,7/7/1980,L,1980
179,3,6288-0371-7121,5/10/2018,136-213-5544,9/7/1980,L,1980
180,3,6284-0747-9400,5/13/2018,574-419-3111,11/9/1980,L,1980
181,3,6280-0563-2615,5/15/2018,099-506-1871,1/10/1981,L,1981
182,3,6287-0524-2758,5/18/2018,679-651-1493,3/13/1981,L,1981
183,3,6289-0436-0018,5/21/2018,913-375-5124,5/14/1981,L,1981
184,3,6287-0020-5756,5/24/2018,278-534-9316,7/15/1981,L,1981
185,3,6280-0306-1484,5/26/2018,597-228-0468,9/15/1981,L,1981
186,3,6282-0834-4382,5/29/2018,121-559-2647,11/16/1981,L,1981
187,3,6282-0506-6023,6/1/2018,813-508-9000,1/17/1982,L,1982
188,3,6285-0850-7205,6/4/2018,263-853-6667,3/21/1982,L,1982
189,3,6288-0422-6003,6/7/2018,454-816-3685,5/22/1982,L,1982
190,3,6284-0250-8049,6/9/2018,172-579-9378,7/23/1982,L,1982
191,3,6280-0474-1556,6/12/2018,240-403-4055,9/23/1982,L,1982
192,3,6280-0495-1812,6/15/2018,744-282-4277,11/24/1982,L,1982
193,3,6281-0388-0289,6/18/2018,644-745-0510,1/25/1983,L,1983
194,3,6289-0597-9954,6/20/2018,048-023-5482,3/28/1983,L,1983
195,3,6286-0339-8437,6/23/2018,560-611-7069,5/30/1983,L,1983
196,3,6286-0859-6757,6/26/2018,167-907-4335,7/31/1983,L,1983
197,3,6286-0694-6984,6/29/2018,187-853-3252,10/1/1983,L,1983
198,3,6280-0490-5550,7/1/2018,949-946-9692,12/2/1983,L,1983
199,3,6284-0722-9816,7/4/2018,053-897-6508,2/2/1984,L,1984
200,3,6282-0121-3114,7/7/2018,090-849-1710,4/4/1984,L,1984
201,3,6282-0504-2749,7/10/2018,868-536-2411,6/5/1984,L,1984
202,3,6283-0766-1145,7/12/2018,079-274-1772,8/6/1984,L,1984
203,3,6285-0312-7220,7/15/2018,012-254-4665,10/8/1984,L,1984
204,3,6282-0206-1537,7/18/2018,323-289-2590,12/9/1984,L,1984
205,3,6287-0270-6764,7/21/2018,234-158-2407,2/9/1985,L,1985
206,3,6285-0807-1706,7/23/2018,735-607-1940,4/12/1985,L,1985
207,3,6288-0636-5723,7/26/2018,914-529-2491,6/13/1985,L,1985
208,3,6282-0497-8170,7/29/2018,922-772-8771,8/14/1985,L,1985
209,3,6281-0655-9557,8/1/2018,076-862-7948,10/15/1985,L,1985
210,3,6280-0720-7120,8/3/2018,988-672-4981,12/17/1985,L,1985
211,3,6289-0169-9116,8/6/2018,953-528-3480,2/17/1986,L,1986
212,3,6284-0753-7438,8/9/2018,258-605-6465,4/20/1986,L,1986
213,3,6285-0878-7865,8/12/2018,720-631-5970,6/21/1986,L,1986
214,3,6288-0074-1345,8/14/2018,511-460-1845,8/22/1986,L,1986
215,3,6287-0091-1484,8/17/2018,708-850-6272,10/23/1986,L,1986
216,3,6289-0707-0153,8/20/2018,714-388-5676,12/24/1986,L,1986
217,3,6286-0696-1543,8/23/2018,449-594-5922,2/24/1987,L,1987
218,3,6286-0715-8083,8/25/2018,356-988-8022,4/28/1987,L,1987
219,3,6282-0840-3474,8/28/2018,973-550-8268,6/29/1987,L,1987
220,3,6281-0646-0593,8/31/2018,313-159-2789,8/30/1987,L,1987
221,3,6283-0459-2097,9/3/2018,657-664-2467,10/31/1987,L,1987
222,3,6288-0349-7125,9/5/2018,600-685-1754,1/1/1988,L,1988
223,3,6285-0844-9125,9/8/2018,408-429-4954,3/3/1988,L,1988
224,3,6289-0113-2889,9/11/2018,125-763-4404,5/4/1988,L,1988
225,3,6286-0125-0302,9/14/2018,758-154-1198,7/6/1988,L,1988
226,3,6281-0436-0522,9/17/2018,285-351-6991,9/6/1988,L,1988
227,3,6283-0676-0858,9/19/2018,473-766-4643,11/7/1988,L,1988
228,3,6285-0500-2139,9/22/2018,655-094-1825,1/8/1989,L,1989
229,3,6282-0431-9776,9/25/2018,212-840-4513,3/11/1989,L,1989
230,3,6286-0840-3794,9/28/2018,345-792-7492,5/12/1989,L,1989
231,3,6288-0182-3991,9/30/2018,918-918-8784,7/13/1989,L,1989
232,3,6288-0472-1936,10/3/2018,274-909-2984,9/13/1989,L,1989
233,3,6285-0604-2681,10/6/2018,752-364-4287,11/15/1989,L,1989
234,3,6283-0602-3532,10/9/2018,615-118-0625,1/16/1990,L,1990
235,3,6288-0480-3398,10/11/2018,424-902-9134,3/19/1990,L,1990
236,3,6287-0655-6839,10/14/2018,941-466-4274,5/20/1990,L,1990
237,3,6282-0334-4755,10/17/2018,494-024-5127,7/21/1990,L,1990
238,3,6283-0458-1227,10/20/2018,420-925-2261,9/21/1990,L,1990
239,3,6280-0112-3758,10/22/2018,693-402-6539,11/22/1990,L,1990
240,3,6287-0188-1977,10/25/2018,625-957-7041,1/24/1991,L,1991
241,3,6287-0181-5163,10/28/2018,445-673-8287,3/27/1991,L,1991
242,3,6289-0168-1777,10/31/2018,304-740-9935,5/28/1991,L,1991
243,3,6283-0786-0824,11/2/2018,088-038-0885,7/29/1991,L,1991
244,3,6281-0342-8128,11/5/2018,820-676-1469,9/29/1991,L,1991
245,3,6281-0457-9831,11/8/2018,773-432-9349,11/30/1991,L,1991
246,3,6280-0576-8186,11/11/2018,368-311-7578,1/31/1992,L,1992
247,3,6281-0387-6269,11/13/2018,943-152-9597,4/2/1992,L,1992
248,3,6286-0855-8259,11/16/2018,661-677-9139,6/4/1992,L,1992
249,3,6287-0349-0613,11/19/2018,721-559-0153,8/5/1992,L,1992
250,3,6288-0502-8053,11/22/2018,560-664-5637,10/6/1992,L,1992
251,3,6281-0174-4292,11/24/2018,155-787-7046,12/7/1992,L,1992
252,3,6284-0180-0776,11/27/2018,795-406-5267,2/7/1993,L,1993
253,3,6281-0363-6685,11/30/2018,844-811-6893,4/10/1993,L,1993
254,3,6288-0314-3335,12/3/2018,189-886-9518,6/11/1993,L,1993
255,3,6285-0639-5458,12/5/2018,441-897-0643,8/13/1993,L,1993
256,3,6289-0839-7941,12/8/2018,020-163-5669,10/14/1993,L,1993
257,3,6282-0400-8472,12/11/2018,020-112-9681,12/15/1993,L,1993
258,3,6283-0493-0231,12/14/2018,967-916-1546,2/15/1994,L,1994
259,3,6287-0278-8695,12/16/2018,176-997-5625,4/18/1994,L,1994
260,3,6288-0270-6446,12/19/2018,010-652-9919,6/19/1994,L,1994
261,3,6288-0292-5547,12/22/2018,867-328-2831,8/20/1994,L,1994
262,3,6288-0741-5566,12/25/2018,646-732-8281,10/21/1994,L,1994
263,3,6288-0644-7019,12/28/2018,028-487-7841,12/23/1994,L,1994
264,3,6285-0870-5632,12/30/2018,265-862-6109,2/23/1995,L,1995
265,3,6281-0306-8819,1/2/2019,400-449-3117,4/26/1995,L,1995
266,3,6287-0274-1167,1/5/2019,665-895-7670,6/27/1995,L,1995
267,3,6284-0140-7217,1/8/2019,955-835-2522,8/28/1995,L,1995
268,3,6285-0484-6429,1/10/2019,617-102-3297,10/29/1995,L,1995
269,3,6280-0057-4762,1/13/2019,266-620-7953,12/30/1995,L,1995
270,3,6286-0145-7133,1/16/2019,295-333-7445,3/2/1996,L,1996
271,3,6280-0197-4421,1/19/2019,836-389-3462,5/3/1996,L,1996
272,3,6285-0692-2238,1/21/2019,405-215-1879,7/4/1996,L,1996
273,3,6280-0227-1290,1/24/2019,542-237-3906,9/4/1996,L,1996
274,3,6285-0065-7498,1/27/2019,552-880-9647,11/5/1996,L,1996
275,3,6286-0240-3232,1/30/2019,048-917-6368,1/6/1997,L,1997
276,3,6283-0469-1667,2/1/2019,449-824-8690,3/9/1997,L,1997
277,3,6289-0286-2503,2/4/2019,097-317-2855,5/10/1997,L,1997
278,3,6287-0067-8247,2/7/2019,645-006-4940,7/12/1997,L,1997
279,3,6284-0191-8241,2/10/2019,978-328-0944,9/12/1997,L,1997
280,3,6283-0106-4097,2/12/2019,680-768-2421,11/13/1997,L,1997
281,3,6287-0729-0910,2/15/2019,171-977-6356,1/14/1998,L,1998
282,3,6284-0190-3759,2/18/2019,207-938-8688,3/17/1998,L,1998
283,3,6281-0792-1604,2/21/2019,659-205-1456,5/18/1998,L,1998
284,3,6286-0065-2557,2/23/2019,683-787-4693,7/19/1998,L,1998
285,3,6289-0275-8620,2/26/2019,684-542-3014,9/20/1998,L,1998
286,3,6280-0525-8907,3/1/2019,902-338-0886,11/21/1998,L,1998
287,3,6287-0749-3192,3/4/2019,460-862-1550,1/22/1999,L,1999
288,3,6281-0869-5638,3/6/2019,288-276-8230,3/25/1999,L,1999
289,3,6283-0430-4089,3/9/2019,514-395-6838,5/26/1999,L,1999
290,3,6284-0267-5581,3/12/2019,408-623-8368,7/27/1999,L,1999
291,3,6283-0809-3046,3/15/2019,551-765-5781,9/27/1999,L,1999
292,3,6282-0022-2861,3/17/2019,533-334-5928,11/28/1999,L,1999
293,3,6282-0100-9214,3/20/2019,530-812-8258,1/30/2000,L,2000
294,3,6288-0397-2309,3/23/2019,860-578-2850,4/1/2000,L,2000
295,3,6285-0715-4931,3/26/2019,188-351-4268,6/2/2000,L,2000
296,3,6280-0158-7575,3/28/2019,339-324-1083,8/3/2000,L,2000
297,3,6282-0380-3533,3/31/2019,409-606-8550,10/4/2000,L,2000
298,3,6287-0537-0275,4/3/2019,159-606-1498,12/5/2000,L,2000
299,3,6286-0603-9148,4/6/2019,385-710-8133,2/5/2001,L,2001
300,3,6287-0309-8685,4/9/2019,971-834-8561,4/9/2001,L,2001
301,3,6288-0139-7751,1/4/2017,021-443-0682,5/13/1950,P,1950
302,3,6281-0414-7900,1/6/2017,433-102-9277,6/29/1950,P,1950
303,3,6280-0362-8046,1/8/2017,478-762-8984,8/14/1950,P,1950
304,3,6282-0290-2053,1/10/2017,930-000-5889,9/30/1950,P,1950
305,3,6283-0646-7152,1/12/2017,573-552-0754,11/16/1950,P,1950
306,3,6289-0574-0095,1/14/2017,369-236-7140,1/1/1951,P,1951
307,3,6281-0306-1886,1/16/2017,977-781-3835,2/17/1951,P,1951
308,3,6281-0247-3809,1/18/2017,618-483-1616,4/4/1951,P,1951
309,3,6285-0841-2677,1/20/2017,726-654-4316,5/21/1951,P,1951
310,3,6282-0887-4535,1/22/2017,305-573-4564,7/7/1951,P,1951
311,3,6283-0587-6474,1/24/2017,694-557-8383,8/22/1951,P,1951
312,3,6286-0167-2065,1/26/2017,542-155-7242,10/8/1951,P,1951
313,3,6281-0234-4577,1/28/2017,023-851-0936,11/23/1951,P,1951
314,3,6287-0533-8861,1/30/2017,371-921-0474,1/9/1952,P,1952
315,3,6282-0694-3584,2/2/2017,236-217-0356,2/25/1952,P,1952
316,3,6282-0043-2709,2/4/2017,448-528-3198,4/11/1952,P,1952
317,3,6288-0025-1179,2/6/2017,324-062-4567,5/28/1952,P,1952
318,3,6282-0585-8085,2/8/2017,288-181-8604,7/13/1952,P,1952
319,3,6281-0881-7882,2/10/2017,685-365-3310,8/29/1952,P,1952
320,3,6289-0555-3040,2/12/2017,212-992-5826,10/15/1952,P,1952
321,3,6289-0863-3570,2/14/2017,365-702-7433,11/30/1952,P,1952
322,3,6285-0299-9113,2/16/2017,927-758-6053,1/16/1953,P,1953
323,3,6281-0746-9133,2/18/2017,764-601-4599,3/3/1953,P,1953
324,3,6283-0309-0415,2/20/2017,495-345-8164,4/19/1953,P,1953
325,3,6284-0186-7076,2/22/2017,160-794-1256,6/5/1953,P,1953
326,3,6280-0466-8520,2/24/2017,671-876-8210,7/21/1953,P,1953
327,3,6286-0569-6208,2/26/2017,243-622-5454,9/6/1953,P,1953
328,3,6283-0243-7702,2/28/2017,239-263-9162,10/22/1953,P,1953
329,3,6287-0559-6352,3/2/2017,978-857-3312,12/8/1953,P,1953
330,3,6283-0018-5895,3/5/2017,058-713-8690,1/24/1954,P,1954
331,3,6284-0485-9617,3/7/2017,056-404-4359,3/11/1954,P,1954
332,3,6281-0145-2235,3/9/2017,114-078-3425,4/27/1954,P,1954
333,3,6280-0850-3145,3/11/2017,675-302-8631,6/12/1954,P,1954
334,3,6281-0490-9966,3/13/2017,719-055-8234,7/29/1954,P,1954
335,3,6287-0301-3304,3/15/2017,197-930-2848,9/14/1954,P,1954
336,3,6282-0054-2745,3/17/2017,182-923-6770,10/30/1954,P,1954
337,3,6281-0673-0813,3/19/2017,336-130-4252,12/16/1954,P,1954
338,3,6283-0831-0813,3/21/2017,396-952-2432,1/31/1955,P,1955
339,3,6288-0037-1079,3/23/2017,564-240-9076,3/19/1955,P,1955
340,3,6280-0586-1143,3/25/2017,282-732-1053,5/5/1955,P,1955
341,3,6285-0681-5394,3/27/2017,111-197-6166,6/20/1955,P,1955
342,3,6289-0631-8247,3/29/2017,440-720-9943,8/6/1955,P,1955
343,3,6282-0047-8978,3/31/2017,155-843-8482,9/21/1955,P,1955
344,3,6282-0871-4960,4/2/2017,977-525-6648,11/7/1955,P,1955
345,3,6282-0789-3462,4/5/2017,524-174-8629,12/24/1955,P,1955
346,3,6285-0697-2008,4/7/2017,070-721-0736,2/8/1956,P,1956
347,3,6282-0173-3464,4/9/2017,659-894-5363,3/26/1956,P,1956
348,3,6284-0445-6226,4/11/2017,441-523-9048,5/11/1956,P,1956
349,3,6281-0579-7684,4/13/2017,659-861-9609,6/27/1956,P,1956
350,3,6284-0336-1826,4/15/2017,431-927-6847,8/13/1956,P,1956
351,3,6289-0837-9608,4/17/2017,343-610-0398,9/28/1956,P,1956
352,3,6283-0089-6777,4/19/2017,739-121-3784,11/14/1956,P,1956
353,3,6287-0151-1918,4/21/2017,330-949-9264,12/30/1956,P,1956
354,3,6284-0418-8991,4/23/2017,182-309-2405,2/15/1957,P,1957
355,3,6289-0536-1149,4/25/2017,547-516-4725,4/3/1957,P,1957
356,3,6288-0281-2880,4/27/2017,567-912-1942,5/19/1957,P,1957
